2010-11-06 11:59:56,246 | DEBUG  | Stat yezooz. garage, cars=40.
2010-11-06 11:59:56,259 | DEBUG  | Stat yezooz. car_manuf, Land Rover=1.
2010-11-06 11:59:56,259 | DEBUG  | Stat yezooz. car_manuf, Land Rover=1.
2010-11-06 11:59:56,271 | DEBUG  | Stat yezooz. car_country, UK=1.
2010-11-06 11:59:56,271 | DEBUG  | Stat yezooz. car_country, UK=1.
2010-11-06 11:59:56,363 | DEBUG  | Stat yezooz. car_tier, 4=7.
2010-11-06 11:59:56,363 | DEBUG  | Stat yezooz. car_tier, 4=7.
2010-11-06 11:59:56,376 | DEBUG  | Stat yezooz. car_manuf, Land Rover=2.
2010-11-06 11:59:56,376 | DEBUG  | Stat yezooz. car_manuf, Land Rover=2.
2010-11-06 11:59:56,387 | DEBUG  | Stat yezooz. car_country, UK=2.
2010-11-06 11:59:56,387 | DEBUG  | Stat yezooz. car_country, UK=2.
2010-11-06 11:59:56,399 | DEBUG  | Stat yezooz. car_tier, 4=8.
2010-11-06 11:59:56,399 | DEBUG  | Stat yezooz. car_tier, 4=8.
2010-11-06 11:59:56,409 | DEBUG  | Stat yezooz. car_year, 2000=5.
2010-11-06 11:59:56,409 | DEBUG  | Stat yezooz. car_year, 2000=5.
2010-11-06 11:59:56,420 | DEBUG  | Stat yezooz. car_bhp, 295=1.
2010-11-06 11:59:56,420 | DEBUG  | Stat yezooz. car_bhp, 295=1.
2010-11-06 11:59:56,432 | DEBUG  | Stat yezooz. car_speed, 200=2.
2010-11-06 11:59:56,432 | DEBUG  | Stat yezooz. car_speed, 200=2.
2010-11-06 11:59:56,443 | DEBUG  | Stat yezooz. car_weight, 2400=1.
2010-11-06 11:59:56,443 | DEBUG  | Stat yezooz. car_weight, 2400=1.
2010-11-06 11:59:56,914 | DEBUG  | Could not draw any car for Prototype / yezooz
2010-11-06 11:59:56,914 | DEBUG  | Could not draw any car for Prototype / yezooz
2010-11-06 11:59:56,965 | DEBUG  | Could not draw any car for Modified / yezooz
2010-11-06 11:59:56,965 | DEBUG  | Could not draw any car for Modified / yezooz
2010-11-06 11:59:57,014 | DEBUG  | Could not draw any car for Non-Playable / yezooz
